SKU Number,Warehouse Quantity,Cost
PL7400,63,22.83
PL6411-2nD,65,39.56
LHGmount,52,13.00
GESP,51,23.11
DRP-LTM,21,6.19
RB750P-PBr2,45,61.50
S-55DLC80D,9,30.01
Audience,30,223.17
RBcAPL-2ND,36,25.27
RB5009UPr+S+IN,0,255.00
C52iG-5HaxD2HaxD-TC,100,83.00
C53UiG+5HPaxD2HPaxD,24,115.00
C52iG-5HaxD2HaxD-TC-US,59,83.00
C53UiG+5HPaxD2HPaxD-US,100,115.00
D53G-5HacD2HnD-TC&EG06-A,100,159.00
CRS305-1G-4S+OUT,95,199.00
CRS518-16XS-2XQ-RM,100,"1,395.00"
CSS610-8P-2S+IN,100,183.00
RBSXTG-5HPacD-SA-US,0,94.30
SXTR&EP06-A,0,145.00
XQ+31LC02D,37,189.00
XQ+85MP01D,43,72.00
XQ+BC0003-XS+,9,68.00
XQ+DA0001,2,33.00
XQ+DA0003,10,47.75
868,2,43.65
RB924iR-2nD-BT5&BG77&R11e-LR8,34,157.86
RB924iR-2nD-BT5&BG77&R11e-LR9,18,155.00
hAP,0,171.59
S53UG+M-5HaxD2HaxD-TC&RG502Q-EA,72,459.00
RBD53G-5HacD2HnD-TC&EG12-EA,27,178.77
S53UG+5HaxD2HaxD-TC&EG18-EA,50,250.00
wAP,18,158.30
RBwAPGR-5HacD2HnD&R11e-LTE6,27,174.48
CRS510-8XS-2XQ-IN,20,799.00
CRS504-4XQ-OUT,40,694.00
MT13-052400-U15BG,0,9.00
L41G-2axD,0,59.00
MT13-052400-E15BG,0,9.00
RMK-2/10,11,6.50
XQ+31LC10D,4,285.00
cAPGi-5HaxD2HaxD-US,100,115.00
